Dear White People,2014,Justin Simien,"Comedy, Drama, Romance",R,6.1
Big Game,2014,Jalmari Helander,"Action, Adventure",PG-13,5.4
The Water Diviner,2014,Russell Crowe,"Drama, History, War",R,7.0
A Little Chaos,2014,Alan Rickman,"Drama, Romance",R,6.5
Playing It Cool,2014,Justin Reardon,"Comedy, Romance",R,5.9
Heaven Is for Real,2014,Randall Wallace,"Biography, Drama, Family",PG,5.8
Automata,2014,Gabe Ibáñez,"Action, Drama, Sci-Fi",R,6.0
Good People,2014,Henrik Ruben Genz,"Action, Crime, Thriller",R,5.5
The Riot Club,2014,Lone Scherfig,"Drama, Thriller",R,6.0
The Hungover Games,2014,Josh Stolberg,"Adventure, Comedy, Fantasy",R,3.5
Black Sea,2014,Kevin Macdonald,"Adventure, Drama, Thriller",R,6.4
99 Homes,2014,Ramin Bahrani,"Crime, Drama",R,7.1
Kill the Messenger,2014,Michael Cuesta,"Biography, Crime, Drama",R,6.9
Clown,2014,Jon Watts,"Horror, Thriller",R,5.7
No Good Deed,2014,Sam Miller,"Crime, Drama, Horror",PG-13,5.6
The Last Five Years,2014,Richard LaGravenese,"Comedy, Drama, Musical",PG-13,5.8
Everly,2014,Joe Lynch,"Action, Thriller",R,5.1
Winter Sleep,2014,Nuri Bilge Ceylan,Drama,Not Rated,8.1
Gemma Bovery,2014,Anne Fontaine,"Comedy, Drama, Romance",R,6.4
Appleseed Alpha,2014,Shinji Aramaki,"Animation, Action, Adventure",PG-13,6.5
Northmen - A Viking Saga,2014,Claudio Fäh,"Action, Drama, History",R,5.4
Jersey Boys,2014,Clint Eastwood,"Biography, Drama, Music",R,6.8
A Long Way Down,2014,Pascal Chaumeil,"Comedy, Drama",R,6.3
The Pyramid,2014,Grégory Levasseur,"Horror, Mystery, Thriller",R,4.6
Addicted,2014,Bille Woodruff,"Drama, Romance, Thriller",R,5.0
Time Lapse,2014,Bradley King,"Horror, Sci-Fi, Thriller",Not Rated,6.5
Heavenly Sword,2014,Gun Ho Jang,"Animation, Action, Adventure",Not Rated,5.3
Lap Dance,2014,Greg Carter,Drama,R,4.6
Premature,2014,Dan Beers,"Comedy, Drama, Fantasy",R,5.7
Flight 7500,2014,Takashi Shimizu,"Drama, Horror, Sci-Fi",PG-13,4.8
Bang Bang,2014,Siddharth Anand,"Action, Adventure, Comedy",Not Rated,5.6
Walking on Sunshine,2014,Max Giwa,"Comedy, Drama, Musical",Not Rated,5.4
They Came Together,2014,David Wain,"Comedy, Romance",R,5.6
You're Not You,2014,George C. Wolfe,Drama,R,7.3
A Good Marriage,2014,Peter Askin,"Crime, Drama, Thriller",R,5.3
Magic in the Moonlight,2014,Woody Allen,"Comedy, Drama, Romance",PG-13,6.5
We'll Never Have Paris,2014,Simon Helberg,"Comedy, Romance",R,4.6
The Little Death,2014,Josh Lawson,"Comedy, Drama, Romance",Not Rated,7.0
The Prince,2014,Brian A. Miller,"Action, Thriller",R,4.6
Ask Me Anything,2014,Allison Burnett,Drama,Not Rated,6.0
Devil's Due,2014,Matt Bettinelli-Olpin,"Horror, Mystery",R,4.1
Million Dollar Arm,2014,Craig Gillespie,"Biography, Drama, Sport",PG,7.0
The Remaining,2014,Casey La Scala,"Drama, Horror, Mystery",PG-13,4.3
The Tribe,2014,Myroslav Slaboshpytskyi,"Crime, Drama",Unrated,7.0
In Order of Disappearance,2014,Hans Petter Moland,"Action, Comedy, Crime",R,7.1
Paranormal Activity: The Marked Ones,2014,Christopher Landon,"Horror, Mystery",R,5.0
5 to 7,2014,Victor Levin,"Comedy, Drama, Romance",R,7.1
Laggies,2014,Lynn Shelton,"Comedy, Drama, Romance",R,6.4
Testament of Youth,2014,James Kent,"Biography, Drama, History",PG-13,7.2
13 Sins,2014,Daniel Stamm,"Horror, Thriller",R,6.3
Date and Switch,2014,Chris Nelson,"Comedy, Drama, Romance",R,5.7
Black or White,2014,Mike Binder,Drama,PG-13,6.6
The Inbetweeners 2,2014,Damon Beesley,Comedy,Not Rated,6.4
Starry Eyes,2014,Kevin Kölsch,"Horror, Mystery",Not Rated,6.0
Miss Meadows,2014,Karen Leigh Hopkins,"Comedy, Crime, Drama",Not Rated,5.8
Brick Mansions,2014,Camille Delamarre,"Action, Crime, Thriller",PG-13,5.6
Forbidden Empire,2014,Oleg Stepchenko,"Adventure, Fantasy, Mystery",Not Rated,5.2
The Longest Week,2014,Peter Glanz,"Comedy, Drama, Romance",PG-13,5.4
Some Kind of Beautiful,2014,Tom Vaughan,"Comedy, Romance",R,5.7
Obvious Child,2014,Gillian Robespierre,"Comedy, Drama, Romance",R,6.7
Planes: Fire & Rescue,2014,Bobs Gannaway,"Animation, Adventure, Comedy",PG,5.9
"Two Days, One Night",2014,Jean-Pierre Dardenne,Drama,PG-13,7.3
Think Like a Man Too,2014,Tim Story,"Comedy, Romance",PG-13,5.7
Department Q: The Absent One,2014,Mikkel Nørgaard,"Crime, Drama, Mystery",Not Rated,7.1
Cold in July,2014,Jim Mickle,"Crime, Thriller",R,6.7
10.0 Earthquake,2014,David Gidali,"Action, Adventure, Drama",PG,3.5
The Skeleton Twins,2014,Craig Johnson,"Comedy, Drama, Romance",R,6.8
The Way He Looks,2014,Daniel Ribeiro,"Drama, Romance",Not Rated,7.9
The Two Faces of January,2014,Hossein Amini,"Romance, Thriller",PG-13,6.2
We Still Kill the Old Way,2014,Sacha Bennett,"Action, Comedy, Crime",Not Rated,6.0
Hungry Hearts,2014,Saverio Costanzo,"Drama, Romance, Thriller",Unrated,6.4
Blind,2014,Eskil Vogt,Drama,Not Rated,6.8
The Last: Naruto the Movie,2014,Tsuneo Kobayashi,"Animation, Action, Adventure",TV-14,7.6
Clouds of Sils Maria,2014,Olivier Assayas,Drama,R,6.8
Mr. Turner,2014,Mike Leigh,"Biography, Drama, History",R,6.8
Hoodies vs. Hooligans,2014,Gabe Turner,Thriller,Not Rated,5.7
The Rewrite,2014,Marc Lawrence,"Comedy, Romance",Not Rated,6.3
Phoenix,2014,Christian Petzold,"Drama, History, Music",PG-13,7.3
Miss Julie,2014,Liv Ullmann,"Drama, Romance",PG-13,5.5
Better Living Through Chemistry,2014,Geoff Moore,"Comedy, Drama",Not Rated,6.2
Madame Bovary,2014,Sophie Barthes,"Drama, Romance",R,5.7
[REC] 4: Apocalypse,2014,Jaume Balagueró,"Horror, Thriller",R,5.3
Heaven Knows What,2014,Benny Safdie,"Crime, Drama",R,6.8
See No Evil 2,2014,Jen Soska,"Action, Horror, Thriller",R,4.7
Lost River,2014,Ryan Gosling,"Drama, Fantasy, Mystery",R,5.7
A Haunted House 2,2014,Michael Tiddes,"Comedy, Fantasy, Horror",R,4.6
